Date,Rank,Symbol,Name,Log Return
2020-03-09,1,XLE,Energy,-0.22490986
2020-03-09,2,XLF,Financials,-0.11343827
2020-03-09,3,XLB,Materials,-0.098266125
2020-03-09,4,XLI,Industrials,-0.09673287
2020-03-09,5,XLK,Technology,-0.07895605
2020-03-09,6,XLRE,Real Estate,-0.073269196
2020-03-09,7,XLC,Communication Services,-0.06896419
2020-03-09,8,XLY,Consumer Discretionary,-0.065044545
2020-03-09,9,XLU,Utilities,-0.0559233
2020-03-09,10,XLV,Health Care,-0.053381264
2020-03-09,11,XLP,Consumer Staples,-0.04452563
2020-03-12,1,XLE,Energy,-0.13323441
2020-03-12,2,XLF,Financials,-0.11445012
2020-03-12,3,XLI,Industrials,-0.10925838
2020-03-12,4,XLY,Consumer Discretionary,-0.106532775
2020-03-12,5,XLU,Utilities,-0.10640226
2020-03-12,6,XLK,Technology,-0.10270273
2020-03-12,7,XLB,Materials,-0.1012333
2020-03-12,8,XLP,Consumer Staples,-0.09866773
2020-03-12,9,XLC,Communication Services,-0.09856541
2020-03-12,10,XLRE,Real Estate,-0.08980577
2020-03-12,11,XLV,Health Care,-0.07758997
2020-03-16,1,XLRE,Real Estate,-0.17436692
2020-03-16,2,XLK,Technology,-0.1486624
2020-03-16,3,XLF,Financials,-0.14744867
2020-03-16,4,XLE,Energy,-0.14626016
2020-03-16,5,XLY,Consumer Discretionary,-0.13546042
2020-03-16,6,XLU,Utilities,-0.12056129
2020-03-16,7,XLI,Industrials,-0.12040801
2020-03-16,8,XLC,Communication Services,-0.11967916
2020-03-16,9,XLB,Materials,-0.11662801
2020-03-16,10,XLV,Health Care,-0.1038175
2020-03-16,11,XLP,Consumer Staples,-0.0702428
2020-03-18,1,XLE,Energy,-0.15498438
2020-03-18,2,XLF,Financials,-0.088703476
2020-03-18,3,XLI,Industrials,-0.076522544
2020-03-18,4,XLRE,Real Estate,-0.07283729
2020-03-18,5,XLB,Materials,-0.06607177
2020-03-18,6,XLY,Consumer Discretionary,-0.05916392
2020-03-18,7,XLU,Utilities,-0.044506915
2020-03-18,8,XLK,Technology,-0.038405538
2020-03-18,9,XLC,Communication Services,-0.033772487
2020-03-18,10,XLV,Health Care,-0.03372287
2020-03-18,11,XLP,Consumer Staples,-0.026026098
2020-06-11,1,XLE,Energy,-0.09895489
2020-06-11,2,XLF,Financials,-0.08531667
2020-06-11,3,XLB,Materials,-0.080398776
2020-06-11,4,XLI,Industrials,-0.07282689
2020-06-11,5,XLRE,Real Estate,-0.063812576
2020-06-11,6,XLK,Technology,-0.059053015
2020-06-11,7,XLV,Health Care,-0.057215694
2020-06-11,8,XLY,Consumer Discretionary,-0.053800024
2020-06-11,9,XLC,Communication Services,-0.04714678
2020-06-11,10,XLU,Utilities,-0.039828632
2020-06-11,11,XLP,Consumer Staples,-0.038651355
