Symbol,Name,Date,Log Return
XLB,Materials,2020-03-16,-0.11662801
XLB,Materials,2020-03-12,-0.1012333
XLB,Materials,2020-03-09,-0.098266125
XLB,Materials,2020-06-11,-0.080398776
XLB,Materials,2020-03-18,-0.06607177
XLC,Communication Services,2020-03-16,-0.11967916
XLC,Communication Services,2020-03-12,-0.09856541
XLC,Communication Services,2020-03-09,-0.06896419
XLC,Communication Services,2020-06-11,-0.04714678
XLC,Communication Services,2020-03-20,-0.045208197
XLE,Energy,2020-03-09,-0.22490986
XLE,Energy,2020-03-18,-0.15498438
XLE,Energy,2020-03-16,-0.14626016
XLE,Energy,2020-03-12,-0.13323441
XLE,Energy,2020-06-11,-0.09895489
XLF,Financials,2020-03-16,-0.14744867
XLF,Financials,2020-03-12,-0.11445012
XLF,Financials,2020-03-09,-0.11343827
XLF,Financials,2020-03-18,-0.088703476
XLF,Financials,2020-06-11,-0.08531667
XLI,Industrials,2020-03-16,-0.12040801
XLI,Industrials,2020-03-12,-0.10925838
XLI,Industrials,2020-03-09,-0.09673287
XLI,Industrials,2020-03-18,-0.076522544
XLI,Industrials,2020-06-11,-0.07282689
XLK,Technology,2020-03-16,-0.1486624
XLK,Technology,2020-03-12,-0.10270273
XLK,Technology,2020-03-09,-0.07895605
XLK,Technology,2020-06-11,-0.059053015
XLK,Technology,2020-09-03,-0.058683053
XLP,Consumer Staples,2020-03-12,-0.09866773
XLP,Consumer Staples,2020-03-16,-0.0702428
XLP,Consumer Staples,2020-03-20,-0.06695372
XLP,Consumer Staples,2020-03-11,-0.050294142
XLP,Consumer Staples,2020-03-09,-0.04452563
XLRE,Real Estate,2020-03-16,-0.17436692
XLRE,Real Estate,2020-03-12,-0.08980577
XLRE,Real Estate,2020-03-09,-0.073269196
XLRE,Real Estate,2020-03-18,-0.07283729
XLRE,Real Estate,2020-03-23,-0.06463674
XLU,Utilities,2020-03-16,-0.12056129
XLU,Utilities,2020-03-12,-0.10640226
XLU,Utilities,2020-03-20,-0.08264522
XLU,Utilities,2020-03-23,-0.062338226
XLU,Utilities,2020-04-01,-0.061979048
XLV,Health Care,2020-03-16,-0.1038175
XLV,Health Care,2020-03-12,-0.07758997
XLV,Health Care,2020-03-23,-0.058177795
XLV,Health Care,2020-06-11,-0.057215694
XLV,Health Care,2020-03-09,-0.053381264
XLY,Consumer Discretionary,2020-03-16,-0.13546042
XLY,Consumer Discretionary,2020-03-12,-0.106532775
XLY,Consumer Discretionary,2020-03-09,-0.065044545
XLY,Consumer Discretionary,2020-03-18,-0.05916392
XLY,Consumer Discretionary,2020-03-11,-0.056240488
